from_machine,to_machine,with_handling_sec
M9,M68,269.938
M9,M69,280.938
M9,M70,225.938
M9,M71,205.145
M9,M72,216.145
M9,M73,227.145
M9,M74,238.145
M9,M75,249.145
M9,M76,278.738
M9,M77,276.538
M9,M78,287.538
M9,M79,298.538
M9,M80,243.538
M9,M81,222.745
M9,M82,233.745
M9,M83,244.745
M9,M84,255.745
M9,M85,266.745
M9,M86,296.338
M9,M87,294.138
M9,M88,305.138
M9,M89,316.138
M9,M90,261.138
M9,M91,240.345
M9,M92,251.345
M9,M93,262.345
M9,M94,273.345
M9,M95,284.345
M9,M96,313.938
M9,M97,324.938
M9,M98,335.938
M9,M99,346.938
M9,M100,357.938
M10,M1,280.283
M10,M2,291.283
M10,M3,302.283
M10,M4,313.283
M10,M5,324.283
M10,M6,168.53
M10,M7,107.784
M10,M8,118.784
M10,M9,129.784
M10,M11,53.992
M10,M12,64.992
M10,M13,75.992
M10,M14,86.992
M10,M15,97.992
M10,M16,127.584
M10,M17,125.384
M10,M18,136.384
M10,M19,147.384
M10,M20,92.384
M10,M21,71.592
M10,M22,82.592
M10,M23,93.592
M10,M24,104.592
M10,M25,115.592
M10,M26,145.184
M10,M27,142.984
M10,M28,153.984
M10,M29,164.984
M10,M30,109.984
M10,M31,89.192
M10,M32,100.192
M10,M33,111.192
M10,M34,122.192
M10,M35,133.192
M10,M36,162.784
M10,M37,160.584
M10,M38,171.584
M10,M39,182.584
M10,M40,127.584
M10,M41,106.792
M10,M42,117.792
M10,M43,128.792
M10,M44,139.792
M10,M45,150.792
M10,M46,180.384
M10,M47,191.384
M10,M48,202.384
M10,M49,213.384
M10,M50,224.384
M10,M51,158.945
M10,M52,169.945
M10,M53,180.945
M10,M54,191.945
M10,M55,202.945
M10,M56,232.538
M10,M57,230.338
M10,M58,241.338
M10,M59,252.338
M10,M60,197.338
M10,M61,176.545
M10,M62,187.545
M10,M63,198.545
M10,M64,209.545
M10,M65,220.545
M10,M66,250.138
M10,M67,247.938
M10,M68,258.938
M10,M69,269.938
M10,M70,214.938
M10,M71,194.145
M10,M72,205.145
M10,M73,216.145
M10,M74,227.145
M10,M75,238.145
M10,M76,267.738
M10,M77,265.538
M10,M78,276.538
M10,M79,287.538
M10,M80,232.538
M10,M81,211.745
M10,M82,222.745
M10,M83,233.745
M10,M84,244.745
M10,M85,255.745
M10,M86,285.338
M10,M87,283.138
M10,M88,294.138
M10,M89,305.138
M10,M90,250.138
M10,M91,229.345
M10,M92,240.345
M10,M93,251.345
M10,M94,262.345
M10,M95,273.345
M10,M96,302.938
M10,M97,313.938
M10,M98,324.938
M10,M99,335.938
M10,M100,346.938
M11,M1,246.291
M11,M2,257.291
M11,M3,268.291
M11,M4,279.291
M11,M5,290.291
M11,M6,134.538
M11,M7,73.792
M11,M8,84.792
M11,M9,95.792
M11,M10,40.792
M11,M12,31.0
M11,M13,42.0
M11,M14,53.0
M11,M15,64.0
M11,M16,93.592
M11,M17,104.592
M11,M18,115.592
M11,M19,126.592
M11,M20,113.177
M11,M21,92.384
M11,M22,103.384
M11,M23,114.384
M11,M24,125.384
M11,M25,114.384
M11,M26,143.977
M11,M27,154.977
M11,M28,165.977
M11,M29,176.977
M11,M30,130.777
M11,M31,109.984
M11,M32,120.984
M11,M33,131.984
M11,M34,142.984
M11,M35,153.984
M11,M36,183.577
M11,M37,181.377
M11,M38,192.377
M11,M39,203.377
M11,M40,148.377
M11,M41,127.584
M11,M42,138.584
M11,M43,149.584
M11,M44,160.584
M11,M45,171.584
M11,M46,201.177
M11,M47,212.177
M11,M48,223.177
M11,M49,234.177
M11,M50,245.177
M11,M51,179.738
M11,M52,190.738
M11,M53,201.738
M11,M54,212.738
M11,M55,223.738
M11,M56,253.33
M11,M57,251.13
M11,M58,262.13
M11,M59,273.13
M11,M60,218.13
M11,M61,197.338
M11,M62,208.338
M11,M63,219.338
M11,M64,230.338
M11,M65,241.338
M11,M66,270.93
M11,M67,268.73
M11,M68,279.73
M11,M69,290.73
M11,M70,235.73
M11,M71,214.938
M11,M72,225.938
M11,M73,236.938
M11,M74,247.938
M11,M75,258.938
M11,M76,288.53
M11,M77,286.33
M11,M78,297.33
M11,M79,308.33
M11,M80,253.33
M11,M81,232.538
M11,M82,243.538
M11,M83,254.538
M11,M84,265.538
M11,M85,276.538
M11,M86,306.13
M11,M87,303.93
M11,M88,314.93
M11,M89,325.93
M11,M90,270.93
M11,M91,250.138
M11,M92,261.138
M11,M93,272.138
M11,M94,283.138
M11,M95,294.138
M11,M96,323.73
M11,M97,334.73
M11,M98,345.73
M11,M99,356.73
M11,M100,367.73
M12,M1,235.291
M12,M2,246.291
M12,M3,257.291
M12,M4,268.291
M12,M5,279.291
M12,M6,123.538
M12,M7,62.792
M12,M8,73.792
M12,M9,84.792
M12,M10,95.792
M12,M11,129.784
M12,M13,31.0
M12,M14,42.0
M12,M15,53.0
M12,M16,82.592
M12,M17,93.592
M12,M18,104.592
M12,M19,115.592
M12,M20,126.592
M12,M21,147.384
M12,M22,158.384
M12,M23,142.984
M12,M24,153.984
M12,M25,103.384
M12,M26,132.977
M12,M27,143.977
M12,M28,154.977
M12,M29,165.977
M12,M30,176.977
M12,M31,164.984
M12,M32,175.984
M12,M33,186.984
M12,M34,197.984
M12,M35,153.769
M12,M36,183.361
M12,M37,194.361
M12,M38,205.361
M12,M39,216.361
M12,M40,203.377
M12,M41,182.584
M12,M42,193.584
M12,M43,204.584
M12,M44,215.584
M12,M45,204.153
M12,M46,233.746
M12,M47,244.746
M12,M48,255.746
M12,M49,266.746
M12,M50,277.746
M12,M51,234.738
M12,M52,245.738
M12,M53,256.738
M12,M54,267.738
M12,M55,278.738
M12,M56,308.33
M12,M57,306.13
M12,M58,317.13
M12,M59,328.13
M12,M60,273.13
M12,M61,252.338
M12,M62,263.338
M12,M63,274.338
M12,M64,285.338
M12,M65,296.338
M12,M66,325.93
M12,M67,323.73
M12,M68,334.73
M12,M69,345.73
M12,M70,290.73
M12,M71,269.938
M12,M72,280.938
M12,M73,291.938
M12,M74,302.938
M12,M75,313.938
M12,M76,343.53
M12,M77,341.33
M12,M78,352.33
M12,M79,363.33
M12,M80,308.33
M12,M81,287.538
M12,M82,298.538
M12,M83,309.538
M12,M84,320.538
M12,M85,331.538
M12,M86,361.13
M12,M87,358.93
M12,M88,369.93
M12,M89,380.93
M12,M90,325.93
M12,M91,305.138
M12,M92,316.138
M12,M93,327.138
M12,M94,338.138
M12,M95,349.138
M12,M96,320.33
M12,M97,331.33
M12,M98,342.33
M12,M99,353.33
M12,M100,364.33
M13,M1,224.291
M13,M2,235.291
M13,M3,246.291
M13,M4,257.291
M13,M5,268.291
M13,M6,112.538
M13,M7,51.792
M13,M8,62.792
M13,M9,73.792
M13,M10,84.792
M13,M11,118.784
M13,M12,129.784
M13,M14,31.0
M13,M15,42.0
M13,M16,71.592
M13,M17,82.592
M13,M18,93.592
M13,M19,104.592
M13,M20,115.592
M13,M21,136.384
M13,M22,147.384
M13,M23,131.984
M13,M24,142.984
M13,M25,92.384
M13,M26,121.977
M13,M27,132.977
M13,M28,143.977
M13,M29,154.977
M13,M30,165.977
M13,M31,153.984
M13,M32,164.984
M13,M33,175.984
M13,M34,186.984
M13,M35,142.769
M13,M36,172.361
M13,M37,183.361
M13,M38,194.361
M13,M39,205.361
M13,M40,192.377
M13,M41,171.584
M13,M42,182.584
M13,M43,193.584
M13,M44,204.584
M13,M45,193.153
M13,M46,222.746
M13,M47,233.746
M13,M48,244.746
M13,M49,255.746
M13,M50,266.746
M13,M51,223.738
M13,M52,234.738
M13,M53,245.738
M13,M54,256.738
M13,M55,267.738
M13,M56,297.33
M13,M57,295.13
M13,M58,306.13
M13,M59,317.13
M13,M60,262.13
M13,M61,241.338
M13,M62,252.338
M13,M63,263.338
M13,M64,274.338
M13,M65,285.338
M13,M66,314.93
M13,M67,312.73
M13,M68,323.73
M13,M69,334.73
M13,M70,279.73
M13,M71,258.938
M13,M72,269.938
M13,M73,280.938
M13,M74,291.938
M13,M75,302.938
M13,M76,332.53
M13,M77,330.33
M13,M78,341.33
M13,M79,352.33
M13,M80,297.33
M13,M81,276.538
M13,M82,287.538
M13,M83,298.538
M13,M84,309.538
M13,M85,320.538
M13,M86,350.13
M13,M87,347.93
M13,M88,358.93
M13,M89,369.93
M13,M90,314.93
M13,M91,294.138
M13,M92,305.138
M13,M93,316.138
M13,M94,327.138
M13,M95,338.138
M13,M96,309.33
M13,M97,320.33
M13,M98,331.33
M13,M99,342.33
M13,M100,353.33
M14,M1,213.291
M14,M2,224.291
M14,M3,235.291
M14,M4,246.291
M14,M5,257.291
M14,M6,101.538
M14,M7,40.792
M14,M8,51.792
M14,M9,62.792
M14,M10,73.792
M14,M11,107.784
M14,M12,118.784
M14,M13,90.184
M14,M15,31.0
M14,M16,60.592
M14,M17,71.592
M14,M18,82.592
M14,M19,93.592
M14,M20,104.592
M14,M21,125.384
M14,M22,136.384
M14,M23,120.984
M14,M24,131.984
M14,M25,81.384
M14,M26,110.977
M14,M27,121.977
M14,M28,132.977
M14,M29,143.977
M14,M30,154.977
M14,M31,142.984
M14,M32,153.984
M14,M33,164.984
M14,M34,175.984
M14,M35,131.769
M14,M36,161.361
M14,M37,172.361
M14,M38,183.361
M14,M39,194.361
M14,M40,181.377
M14,M41,160.584
M14,M42,171.584
M14,M43,182.584
M14,M44,193.584
M14,M45,182.153
M14,M46,211.746
M14,M47,222.746
M14,M48,233.746
M14,M49,244.746
M14,M50,255.746
M14,M51,212.738
M14,M52,223.738
M14,M53,234.738
M14,M54,245.738
M14,M55,256.738
M14,M56,286.33
M14,M57,284.13
M14,M58,295.13
M14,M59,306.13
M14,M60,251.13
M14,M61,230.338
M14,M62,241.338
M14,M63,252.338
M14,M64,263.338
M14,M65,274.338
M14,M66,303.93
M14,M67,301.73
M14,M68,312.73
M14,M69,323.73
M14,M70,268.73
M14,M71,247.938
M14,M72,258.938
M14,M73,269.938
M14,M74,280.938
M14,M75,291.938
M14,M76,321.53
M14,M77,319.33
M14,M78,330.33
M14,M79,341.33
M14,M80,286.33
M14,M81,265.538
M14,M82,276.538
M14,M83,287.538
M14,M84,298.538
M14,M85,309.538
M14,M86,339.13
M14,M87,336.93
M14,M88,347.93
M14,M89,358.93
M14,M90,303.93
M14,M91,283.138
M14,M92,294.138
M14,M93,305.138
M14,M94,316.138
M14,M95,327.138
M14,M96,298.33
M14,M97,309.33
M14,M98,320.33
M14,M99,331.33
M14,M100,342.33
M15,M1,202.291
M15,M2,213.291
M15,M3,224.291
M15,M4,235.291
M15,M5,246.291
M15,M6,90.538
