task_id,lot_id,from_step_no,to_step_no,source_machine,source_group,source_bay,dest_machine,dest_group,dest_bay,planned_ready_sec,planned_due_sec,planned_avg_travel_sec,planned_slack_sec
T0000146,L00004,35,36,M44,PHOTO_B,Bay5,M48,ETCH_B,Bay5,30798.75,30881.342,65.0,17.592000000000553
T0000147,L00004,36,37,M48,ETCH_B,Bay5,M96,METRO_D,Bay10,31071.092,31334.537999999997,550.0,-286.5540000000037
T0000148,L00004,37,38,M96,METRO_D,Bay10,M5,ETCH_A,Bay1,31498.787999999997,31675.332999999995,110.0,66.54499999999825
T0000149,L00004,38,39,M5,ETCH_A,Bay1,M17,IMP_A,Bay2,31787.832999999995,31894.409999999996,110.0,-3.422999999998865
T0000150,L00004,39,40,M17,IMP_A,Bay2,M40,METRO_B,Bay4,32102.909999999996,32329.883,220.0,6.973000000005413
T0000151,L00005,5,6,M28,METRO_A,Bay3,M49,ETCH_B,Bay5,238.5,659.25,220.0,200.75
T0000152,L00005,6,7,M49,ETCH_B,Bay5,M25,IMP_B,Bay3,798.75,1205.25,220.0,186.5
T0000153,L00005,7,8,M25,IMP_B,Bay3,M85,CMP_D,Bay9,1392.75,1960.5,440.0,127.75
T0000154,L00005,8,9,M85,CMP_D,Bay9,M53,PHOTO_C,Bay6,2223.0,3351.0,330.0,798.0
T0000155,L00005,9,10,M53,PHOTO_C,Bay6,M59,ETCH_C,Bay6,3600.0,3712.472,65.0,47.47200000000021
T0000156,L00005,10,11,M59,ETCH_C,Bay6,M12,CVD_A,Bay2,3879.722,5028.75,440.0,709.0279999999998
T0000157,L00005,11,12,M12,CVD_A,Bay2,M26,IMP_B,Bay3,5520.0,5652.977,110.0,22.97699999999986
T0000158,L00005,12,13,M26,IMP_B,Bay3,M37,CMP_B,Bay4,6034.727,6180.206,110.0,35.47900000000027
T0000159,L00005,13,14,M37,CMP_B,Bay4,M29,METRO_A,Bay3,6382.706,6728.597,110.0,235.89099999999962
T0000160,L00005,14,15,M29,METRO_A,Bay3,M24,PHOTO_A,Bay3,6973.097,9188.25,65.0,2150.1530000000002
T0000161,L00005,15,16,M24,PHOTO_A,Bay3,M41,PHOTO_B,Bay5,9579.0,11874.0,220.0,2075.0
T0000162,L00005,16,17,M41,PHOTO_B,Bay5,M50,ETCH_B,Bay5,11980.5,12118.092,65.0,72.59200000000055
T0000163,L00005,17,18,M50,ETCH_B,Bay5,M11,CVD_A,Bay2,12221.592,13041.0,330.0,489.40799999999945
T0000164,L00005,18,19,M11,CVD_A,Bay2,M29,METRO_A,Bay3,13205.25,13482.002,110.0,166.7520000000004
T0000165,L00005,19,20,M29,METRO_A,Bay3,M11,CVD_A,Bay2,13663.502,14495.25,110.0,721.7479999999996
T0000166,L00005,20,21,M11,CVD_A,Bay2,M25,IMP_B,Bay3,14660.25,14815.441,110.0,45.19100000000071
T0000167,L00005,21,22,M25,IMP_B,Bay3,M36,CMP_B,Bay4,15284.191,15411.918000000001,110.0,17.72700000000077
T0000168,L00005,22,23,M36,CMP_B,Bay4,M51,PHOTO_C,Bay6,15591.918000000001,18634.5,220.0,2822.5819999999985
T0000169,L00005,23,24,M51,PHOTO_C,Bay6,M56,ETCH_C,Bay6,19311.0,19417.722,65.0,41.72200000000157
T0000170,L00005,24,25,M56,ETCH_C,Bay6,M75,METRO_C,Bay8,19588.722,19748.314000000002,220.0,-60.40799999999945
T0000171,L00005,25,26,M75,METRO_C,Bay8,M14,CVD_A,Bay2,19959.814000000002,20237.25,440.0,-162.56400000000212
T0000172,L00005,26,27,M14,CVD_A,Bay2,M19,IMP_A,Bay2,20511.75,20622.133,65.0,45.38300000000163
T0000173,L00005,27,28,M19,IMP_A,Bay2,M68,CMP_C,Bay7,20763.883,21017.939,550.0,-295.94400000000314
T0000174,L00005,28,29,M68,CMP_C,Bay7,M41,PHOTO_B,Bay5,21451.439,24707.25,220.0,3035.8110000000015
T0000175,L00005,29,30,M41,PHOTO_B,Bay5,M55,ETCH_C,Bay6,24900.75,25071.688,110.0,60.93799999999828
T0000176,L00005,30,31,M55,ETCH_C,Bay6,M64,CVD_C,Bay7,25605.688,25726.672,110.0,10.984000000000378
T0000177,L00005,31,32,M64,CVD_C,Bay7,M89,IMP_E,Bay9,26207.422,26392.983,220.0,-34.43899999999849
T0000178,L00005,32,33,M89,IMP_E,Bay9,M95,METRO_D,Bay10,26566.983,26675.975,110.0,-1.0080000000016298
T0000179,L00005,33,34,M95,METRO_D,Bay10,M100,IMP_F,Bay10,26867.975,26961.567,65.0,28.592000000000553
T0000180,L00005,34,35,M100,IMP_F,Bay10,M44,PHOTO_B,Bay5,27098.067,30155.25,550.0,2507.183000000001
T0000181,L00005,35,36,M44,PHOTO_B,Bay5,M49,ETCH_B,Bay5,30369.75,30541.327,65.0,106.57700000000114
T0000182,L00005,36,37,M49,ETCH_B,Bay5,M98,METRO_D,Bay10,30731.077,30996.615,550.0,-284.46199999999953
T0000183,L00005,37,38,M98,METRO_D,Bay10,M5,ETCH_A,Bay1,31160.865,31328.138,110.0,57.27299999999741
T0000184,L00005,38,39,M5,ETCH_A,Bay1,M17,IMP_A,Bay2,31440.638,31602.687,110.0,52.04900000000271
T0000185,L00005,39,40,M17,IMP_A,Bay2,M39,METRO_B,Bay4,31811.187,32009.171000000002,220.0,-22.01599999999962
T0000186,L00006,6,7,M2,ETCH_A,Bay1,M27,IMP_B,Bay3,139.5,532.5,220.0,173.0
T0000187,L00006,7,8,M27,IMP_B,Bay3,M67,CMP_C,Bay7,720.0,1261.5,440.0,101.5
T0000188,L00006,8,9,M67,CMP_C,Bay7,M23,PHOTO_A,Bay3,1524.0,2436.0,440.0,472.0
T0000189,L00006,9,10,M23,PHOTO_A,Bay3,M60,ETCH_C,Bay6,2685.0,2929.53,330.0,-85.4699999999998
T0000190,L00006,10,11,M60,ETCH_C,Bay6,M65,CVD_C,Bay7,3096.78,4243.5,110.0,1036.7199999999998
T0000191,L00006,11,12,M65,CVD_C,Bay7,M88,IMP_E,Bay9,4734.75,4898.311,220.0,-56.439000000000306
T0000192,L00006,12,13,M88,IMP_E,Bay9,M7,CMP_A,Bay1,5280.061,5485.5,220.0,-14.560999999999694
T0000193,L00006,13,14,M7,CMP_A,Bay1,M39,METRO_B,Bay4,5688.0,6052.88,330.0,34.88000000000011
T0000194,L00006,14,15,M39,METRO_B,Bay4,M74,PHOTO_D,Bay8,6297.38,8412.0,440.0,1674.62
T0000195,L00006,15,16,M74,PHOTO_D,Bay8,M44,PHOTO_B,Bay5,8802.75,10920.75,330.0,1788.0
T0000196,L00006,16,17,M44,PHOTO_B,Bay5,M49,ETCH_B,Bay5,11027.25,11214.298000000003,65.0,122.0480000000025
T0000197,L00006,17,18,M49,ETCH_B,Bay5,M81,CVD_D,Bay9,11317.798000000003,12193.5,440.0,435.7019999999975
T0000198,L00006,18,19,M81,CVD_D,Bay9,M97,METRO_D,Bay10,12357.75,12508.327,110.0,40.576999999999316
T0000199,L00006,19,20,M97,METRO_D,Bay10,M81,CVD_D,Bay9,12689.827,13460.25,110.0,660.4230000000007
T0000200,L00006,20,21,M81,CVD_D,Bay9,M86,IMP_E,Bay9,13625.25,13731.311,65.0,41.060999999999694
T0000201,L00006,21,22,M86,IMP_E,Bay9,M8,CMP_A,Bay1,14200.061,14432.599,220.0,12.538000000000466
T0000202,L00006,22,23,M8,CMP_A,Bay1,M52,PHOTO_C,Bay6,14612.599,17369.25,550.0,2206.651
T0000203,L00006,23,24,M52,PHOTO_C,Bay6,M56,ETCH_C,Bay6,18045.75,18128.342,65.0,17.592000000000553
T0000204,L00006,24,25,M56,ETCH_C,Bay6,M76,METRO_C,Bay8,18299.342,18477.311,220.0,-42.03099999999904
T0000205,L00006,25,26,M76,METRO_C,Bay8,M13,CVD_A,Bay2,18688.811,18896.156000000003,440.0,-232.65499999999884
